,Year,Mileage,Engine,Power,Seats,Price,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol
1479,2014,30,2494.0,100.6,8.0,15972,0,1,0,0
1480,2016,45,1198.0,86.8,5.0,8168,0,0,0,1
1481,2012,35,1598.0,103.6,5.0,8290,0,0,0,1
1482,2016,37,2179.0,140,7.0,14071,0,1,0,0
1483,2016,54,1498.0,98.96,5.0,11713,0,1,0,0
1484,2012,41,1968.0,108.49,5.0,12154,0,1,0,0
1485,2012,47,1197.0,78.9,5.0,4563,0,0,0,1
1486,2005,30,2494.0,102,8.0,6084,0,1,0,0
1487,2018,48,1248.0,88.7,5.0,10176,0,1,0,0
1488,2014,53,1248.0,74,5.0,6465,0,1,0,0
1489,2017,51,1498.0,108.4,5.0,15972,0,1,0,0
1490,2019,32,2393.0,147.8,8.0,34303,0,1,0,0
1491,2014,40,1591.0,121.3,5.0,7910,0,0,0,1
1492,2019,40,1497.0,117.3,5.0,18056,0,0,0,1
1493,2014,61,1498.0,98.6,5.0,10633,0,1,0,0
1494,2011,48,1598.0,103.6,5.0,7606,0,1,0,0
1495,2014,28,2967.0,236,5.0,66933,0,1,0,0
1496,2015,53,796.0,47.3,5.0,4244,0,0,0,1
1497,2012,49,1248.0,88.8,5.0,4411,0,1,0,0
1498,2016,35,1591.0,121.3,5.0,14984,0,0,0,1
1499,2014,28,2987.0,224,7.0,74539,0,1,0,0
1500,2016,38,2498.0,105,6.0,14071,0,1,0,0
1501,2011,52,1582.0,126.3,5.0,5704,0,1,0,0
1502,2017,61,1498.0,99,5.0,11089,0,1,0,0
1503,2016,48,1496.0,113.98,4.0,35748,0,1,0,0
1504,2013,32,796.0,35,5.0,3955,0,0,0,1
1505,2015,49,1461.0,65,5.0,4715,0,1,0,0
1506,2016,33,2143.0,203,5.0,45606,0,1,0,0
1507,2016,44,1461.0,108.45,5.0,10237,0,1,0,0
1508,2016,55,1248.0,74,5.0,5324,0,1,0,0
1509,2011,38,1198.0,73.9,5.0,3574,0,0,0,1
1510,2017,37,2179.0,140,7.0,24537,0,1,0,0
1511,2014,38,1198.0,74,5.0,8975,0,0,0,1
1512,2012,49,1197.0,85.80,5.0,5932,0,0,0,1
1513,2012,30,2494.0,102,7.0,10572,0,1,0,0
1514,2015,61,1498.0,98.6,5.0,10648,0,1,0,0
1515,2017,39,1198.0,73.75,5.0,10998,0,0,0,1
1516,2012,50,1248.0,88.8,5.0,5795,0,1,0,0
1517,2012,43,1197.0,85.8,5.0,6845,0,0,0,1
1518,2017,46,1582.0,126.2,5.0,19167,0,1,0,0
1519,2015,28,2967.0,241.4,7.0,73018,0,1,0,0
1520,2010,46,796.0,46.3,5.0,4502,0,0,0,1
1521,2014,60,1498.0,98.6,5.0,4943,0,1,0,0
1522,2011,43,1968.0,167.7,5.0,12930,0,1,0,0
1523,2013,45,1582.0,126.24,5.0,13310,0,1,0,0
1524,2011,44,998.0,67.1,5.0,4685,0,0,0,1
1525,2017,30,1999.0,148.31,7.0,63130,0,1,0,0
1526,2016,41,1497.0,117.3,5.0,10648,0,0,0,1
1527,2011,34,1991.0,181.03,5.0,17494,0,0,0,1
1528,2011,48,998.0,67.04,5.0,3955,0,0,0,1
1529,2014,52,1582.0,126.3,5.0,6541,0,1,0,0
1530,2017,41,1373.0,80.46,7.0,12702,1,0,0,0
1531,2017,40,1968.0,141,5.0,37878,0,1,0,0
1532,2011,35,1995.0,177,5.0,20916,0,1,0,0
1533,2014,56,1186.0,73.97,5.0,5856,0,1,0,0
1534,2014,30,2143.0,201.1,5.0,35368,0,1,0,0
1535,2015,44,1197.0,82,5.0,8747,0,0,0,1
1536,2008,47,1197.0,78.9,5.0,2510,0,0,0,1
1537,2012,45,1968.0,138.1,5.0,9887,0,1,0,0
1538,2011,41,1968.0,138.08,5.0,11409,0,1,0,0
1539,2019,34,2967.0,245,7.0,110957,0,1,0,0
1540,2010,27,2982.0,171,7.0,16733,0,1,0,0
1541,2013,44,1061.0,67,5.0,4594,0,0,0,1
1542,2013,49,814.0,55.2,5.0,5050,0,0,0,1
1543,2013,45,1198.0,86.8,5.0,4928,0,0,0,1
1544,2015,53,796.0,47.3,5.0,3574,0,0,0,1
1545,2013,37,2523.0,62.1,7.0,8366,0,1,0,0
1546,2015,41,1497.0,117.3,5.0,10268,0,0,0,1
1547,2015,35,1598.0,103.52,5.0,9355,0,0,0,1
1548,2016,51,1197.0,81.80,5.0,8290,0,0,0,1
1549,2013,49,814.0,55.2,5.0,3498,0,0,0,1
1550,2015,49,1197.0,83.14,5.0,9446,0,0,0,1
1551,2014,45,1198.0,76,5.0,7925,0,0,0,1
1552,2008,19,4134.0,250,7.0,18239,0,0,0,1
1553,2010,41,1248.0,75,5.0,4715,0,1,0,0
1554,2017,31,2179.0,138.03,5.0,11409,0,1,0,0
1555,2016,47,1498.0,88.8,5.0,6084,0,1,0,0
1556,2016,41,1497.0,117.3,5.0,11759,0,0,0,1
1557,2015,40,1497.0,117.3,5.0,11865,0,0,0,1
1558,2011,37,796.0,37,4.0,1977,0,0,0,1
1559,2014,47,1498.0,88.8,5.0,6723,0,1,0,0
1560,2009,29,1991.0,147.9,7.0,6084,0,1,0,0
1561,2016,37,2179.0,140,7.0,19775,0,1,0,0
1562,2015,60,1498.0,98.6,5.0,8184,0,1,0,0
1563,2011,39,1197.0,80,5.0,4943,0,0,0,1
1564,2016,48,998.0,67,5.0,5887,0,0,0,1
1565,2014,39,1968.0,138.03,5.0,12550,0,1,0,0
1566,2018,48,1373.0,91.1,5.0,14116,0,0,0,1
1567,2012,27,2179.0,120,7.0,9507,0,1,0,0
1568,2008,35,1150.0,74.9,5.0,1749,0,0,0,1
1569,2016,48,1373.0,91.2,5.0,11865,0,0,0,1
1570,2012,54,1396.0,90,5.0,6845,0,1,0,0
1571,2018,43,1199.0,88.7,5.0,11500,0,0,0,1
1572,2017,37,2179.0,140,7.0,24461,0,1,0,0
1573,2012,39,1197.0,80,5.0,6845,0,0,0,1
1574,2012,52,1582.0,126.32,5.0,7606,0,1,0,0
1575,2011,46,1086.0,68.05,5.0,3346,0,0,0,1
1576,2014,54,998.0,67.04,5.0,6084,0,0,0,1
1577,2012,49,1199.0,73.9,5.0,3818,0,1,0,0
1578,2015,59,1248.0,74,5.0,7225,0,1,0,0
1579,2008,37,1086.0,66.7,5.0,3042,0,0,0,1
1580,2010,47,1197.0,78.9,5.0,3194,0,0,0,1
1581,2013,38,1499.0,110,5.0,9507,0,0,0,1
1582,2011,27,2987.0,210,5.0,16124,0,1,0,0
1583,2017,59,1248.0,74,5.0,9127,0,1,0,0
1584,2004,37,796.0,37,4.0,684,0,0,0,1
1585,2010,37,1298.0,88.2,5.0,3803,0,0,0,1
1586,2018,35,1591.0,121.3,5.0,19395,0,0,0,1
1587,2017,40,1995.0,190,5.0,46077,0,1,0,0
1588,2006,32,1299.0,70,5.0,2433,0,0,0,1
1589,2017,53,1498.0,89.84,5.0,11469,0,1,0,0
1590,2015,48,1373.0,91.1,5.0,10405,0,0,0,1
1591,2012,43,1968.0,167.7,5.0,9127,0,1,0,0
1592,2017,64,1498.0,98.6,5.0,12169,0,1,0,0
1593,2016,40,1968.0,174.33,5.0,37634,0,1,0,0
1594,2017,56,1120.0,70,5.0,8366,0,1,0,0
1595,2013,28,2987.0,224,7.0,54763,0,1,0,0
1596,2013,30,2494.0,100.6,7.0,17935,0,1,0,0
1597,2011,39,1498.0,97.7,5.0,4563,0,0,0,1
1598,2011,47,1968.0,138.1,5.0,10268,0,1,0,0
1599,2006,34,1399.0,92.7,5.0,2129,0,0,0,1
1600,2014,56,1498.0,98.6,7.0,8747,0,1,0,0
1601,2010,49,1248.0,73.9,5.0,5172,0,1,0,0
1602,2011,38,1198.0,73.9,5.0,7438,0,0,0,1
1603,2013,31,1598.0,102.5,5.0,7530,0,0,0,1
1604,2013,39,998.0,66.1,5.0,5309,0,0,0,1
1605,2014,39,1497.0,118,5.0,9659,0,0,0,1
1606,2017,44,1197.0,82,5.0,10770,0,0,0,1
1607,2017,31,1999.0,177,5.0,57806,0,1,0,0
1608,2012,28,2179.0,120,8.0,9507,0,1,0,0
1609,2011,27,1796.0,186,5.0,15440,0,0,0,1
1610,2014,32,1798.0,157.75,5.0,16353,0,0,0,1
1611,2012,42,1991.0,147.9,4.0,7073,0,1,0,0
1612,2010,28,2179.0,120,8.0,7225,0,1,0,0
1613,2015,40,1591.0,121.3,5.0,11835,0,0,0,1
1614,2016,54,1396.0,90,5.0,10268,0,1,0,0
1615,2008,38,1497.0,78,5.0,4548,0,0,0,1
1616,2013,47,1197.0,78.9,5.0,3574,0,0,0,1
1617,2013,60,1498.0,98.6,5.0,5552,0,1,0,0
1618,2012,52,998.0,67.04,5.0,4168,0,0,0,1
1619,2013,45,1198.0,86.8,5.0,5324,0,0,0,1
1620,2014,39,1197.0,80,5.0,7241,0,0,0,1
1621,2016,35,1598.0,103.2,5.0,9431,0,0,0,1
1622,2008,43,1896.0,66,5.0,3574,0,1,0,0
1623,2014,30,2143.0,204,5.0,37269,0,1,0,0
1624,2013,31,1598.0,102.57,5.0,9127,0,0,0,1
1625,2017,49,814.0,55.2,5.0,5552,0,0,0,1
1626,2016,43,1197.0,85.8,5.0,9522,0,0,0,1
1627,2015,31,2967.0,241.4,5.0,50124,0,1,0,0
1628,2018,43,1197.0,81.83,5.0,11865,0,0,0,1
1629,2014,45,1198.0,86.8,5.0,6465,0,0,0,1
1630,2014,41,1298.0,85.8,5.0,7393,0,0,0,1
1631,2017,44,1197.0,81.86,5.0,7453,0,0,0,1
1632,2014,27,2498.0,112,8.0,10739,0,1,0,0
1633,2015,40,1798.0,189,4.0,6845,0,0,0,1
1634,2011,56,998.0,67.1,5.0,4898,0,0,0,1
1635,2014,51,1199.0,73.9,5.0,4943,0,1,0,0
1636,2016,44,1197.0,82,5.0,6891,0,0,0,1
1637,2017,34,2143.0,170,5.0,52908,0,1,0,0
1638,2014,37,1591.0,121.3,5.0,9887,0,0,0,1
1639,2010,36,1172.0,67,5.0,3422,0,0,0,1
1640,2011,30,2494.0,100,8.0,12169,0,1,0,0
1641,2017,43,1493.0,100,7.0,12732,0,1,0,0
1642,2015,47,1498.0,88.8,5.0,8199,0,1,0,0
1643,2018,52,1995.0,190,5.0,56741,0,1,0,0
1644,2018,27,2987.0,254.79,5.0,107702,0,1,0,0
1645,2012,27,2987.0,254.8,5.0,33847,0,1,0,0
1646,2018,44,1197.0,81.86,5.0,9172,0,0,0,1
1647,2011,32,1798.0,157.75,5.0,7453,0,0,0,1
1648,2013,39,1197.0,78.9,5.0,6024,0,0,0,1
1649,2011,54,1396.0,90,5.0,6997,0,1,0,0
1650,2011,28,2179.0,120,8.0,8366,0,1,0,0
1651,2013,45,1198.0,86.8,5.0,4943,0,0,0,1
1652,2017,43,1197.0,81.83,5.0,9507,0,0,0,1
1653,2007,25,2499.0,143,7.0,4563,0,1,0,0
1654,2011,39,1493.0,110,5.0,6465,0,1,0,0
1655,2011,27,2982.0,171,7.0,18634,0,1,0,0
1656,2011,40,1995.0,184,5.0,16657,0,1,0,0
1657,2013,29,2982.0,168.5,7.0,25100,0,1,0,0
1658,2018,44,1199.0,88.76,5.0,11865,0,0,0,1
1659,2013,46,1086.0,68.05,5.0,5628,0,0,0,1
1660,2012,39,1197.0,80,5.0,6084,0,0,0,1
1661,2015,46,1995.0,187.74,5.0,40692,0,1,0,0
1662,2016,35,1968.0,181,5.0,42639,0,1,0,0
1663,2017,47,1197.0,81.80,5.0,8275,0,0,0,1
1664,2017,50,1197.0,83.1,5.0,9431,0,0,0,1
1665,2005,31,1495.0,94,5.0,1369,0,0,0,1
1666,2016,43,1197.0,85.80,5.0,6008,0,0,0,1
1667,2011,61,624.0,35,4.0,669,0,0,0,1
1668,2012,47,1399.0,68,5.0,4183,0,1,0,0
1669,2011,43,1968.0,167.7,5.0,11409,0,1,0,0
1670,2010,44,1248.0,93,5.0,3803,0,1,0,0
1671,2015,35,2489.0,93.7,7.0,7606,0,1,0,0
1672,2013,44,998.0,67.1,5.0,5476,0,0,0,1
1673,2012,41,1496.0,88.7,5.0,6069,0,0,0,1
1674,2015,44,1197.0,82,5.0,8579,0,0,0,1
1675,2014,30,2494.0,100,8.0,18254,0,1,0,0
1676,2008,39,1405.0,62,5.0,1064,0,1,0,0
1677,2015,44,1995.0,184,5.0,28903,0,1,0,0
1678,2017,25,3198.0,197,7.0,46366,0,1,0,0
1679,2017,50,1462.0,103.25,5.0,12474,0,0,0,1
1680,2015,60,1498.0,99,5.0,11485,0,1,0,0
1681,2007,35,1150.0,74.9,5.0,1506,0,0,0,1
1682,2011,39,1497.0,118,5.0,6313,0,0,0,1
1683,2016,39,1498.0,97.6,5.0,9431,0,0,0,1
1684,2016,44,1197.0,85.8,5.0,6693,0,0,0,1
1685,2012,47,1399.0,68,5.0,3194,0,1,0,0
1686,2011,47,1248.0,75,5.0,3346,0,1,0,0
1687,2018,43,1197.0,81.86,5.0,12686,0,0,0,1
1688,2014,55,1248.0,74,5.0,6617,0,1,0,0
1689,2014,53,1498.0,89.84,5.0,10344,0,1,0,0
1690,2010,45,1248.0,73.9,5.0,5020,0,1,0,0
1691,2016,44,1197.0,82,5.0,7666,0,0,0,1
1692,2012,26,2953.0,153.86,7.0,13995,0,1,0,0
1693,2014,51,1199.0,73.9,5.0,8670,0,1,0,0
1694,2018,43,1493.0,100,7.0,12899,0,1,0,0
1695,2013,26,2993.0,306,4.0,73018,0,1,0,0
1696,2012,44,1461.0,108.45,5.0,9279,0,1,0,0
1697,2010,52,998.0,67.04,5.0,4183,0,0,0,1
1698,2017,57,1248.0,88.5,7.0,12169,0,1,0,0
1699,2010,46,796.0,46.3,5.0,2814,0,0,0,1
1700,2015,48,998.0,67,5.0,5856,0,0,0,1
1701,2017,35,1196.0,73,7.0,7210,0,0,0,1
1702,2013,46,1461.0,108.45,5.0,8564,0,1,0,0
1703,2011,42,1061.0,64,5.0,3985,0,0,0,1
1704,2015,30,1598.0,102.53,5.0,7453,0,0,0,1
1705,2006,31,1799.0,130,5.0,4031,0,0,0,1
1706,2012,37,2179.0,140,7.0,9112,0,1,0,0
1707,2011,49,1461.0,64.1,5.0,3650,0,1,0,0
1708,2017,51,999.0,67,5.0,6465,0,0,0,1
1709,2013,35,2967.0,240,5.0,60848,0,1,0,0
1710,2008,66,1248.0,74,5.0,4107,0,1,0,0
1711,2016,48,1198.0,67,5.0,4548,0,0,0,1
1712,2011,43,1197.0,80,5.0,5172,0,0,0,1
1713,2016,42,1995.0,190,5.0,46853,0,1,0,0
1714,2012,48,1248.0,88.8,7.0,8899,0,1,0,0
1715,2014,44,1197.0,82,5.0,6084,0,0,0,1
1716,2011,22,2996.0,254,5.0,21479,0,0,0,1
1717,2011,42,1998.0,163.7,5.0,6921,0,1,0,0
1718,2015,0,2987.0,165,5.0,57806,0,1,0,0
1719,2011,49,1248.0,73.9,5.0,4411,0,1,0,0
1720,2007,27,1796.0,186,5.0,9127,0,0,0,1
1721,2016,43,1197.0,81.83,5.0,10572,0,0,0,1
1722,2014,47,998.0,68.05,5.0,4183,0,0,0,1
1723,2014,53,1248.0,74,5.0,7758,0,1,0,0
1724,2017,43,1197.0,81.83,5.0,10268,0,0,0,1
1725,2014,43,1197.0,85.80,5.0,5613,0,0,0,1
1726,2013,53,1248.0,74,5.0,8290,0,1,0,0
1727,2018,41,1199.0,88.7,5.0,14132,0,0,0,1
1728,2015,39,1197.0,81.86,5.0,6084,0,0,0,1
1729,2013,42,1198.0,86.7,5.0,4411,0,0,0,1
1730,2013,40,1591.0,121.3,5.0,7986,0,0,0,1
1731,2014,39,1497.0,116.3,5.0,8747,0,0,0,1
1732,2017,35,1591.0,121.3,5.0,19958,0,0,0,1
1733,2014,35,2179.0,140,7.0,11911,0,1,0,0
1734,2013,62,998.0,58.16,5.0,4791,1,0,0,0
1735,2013,30,2494.0,102,7.0,15820,0,1,0,0
1736,2012,53,1248.0,74,5.0,6617,0,1,0,0
1737,2017,52,998.0,67,5.0,7955,0,0,0,1
1738,2016,44,1197.0,81.86,5.0,9142,0,0,0,1
1739,2014,60,1498.0,98.6,5.0,6693,0,1,0,0
1740,2010,37,1995.0,181,5.0,19395,0,1,0,0
1741,2011,36,1196.0,70,5.0,3650,0,0,0,1
1742,2018,39,1198.0,73.75,5.0,8686,0,0,0,1
1743,2015,53,1498.0,89.84,5.0,8351,0,1,0,0
1744,2004,30,1343.0,90,5.0,1977,0,0,0,1
1745,2014,37,2179.0,140,7.0,12930,0,1,0,0
1746,2012,30,2982.0,168.5,7.0,19760,0,1,0,0
1747,2017,44,1197.0,81.86,5.0,7606,0,0,0,1
1748,2017,66,1248.0,73.75,5.0,13690,0,1,0,0
1749,2016,53,1248.0,74,5.0,7940,0,1,0,0
1750,2012,38,1198.0,73.9,5.0,5780,0,0,0,1
1751,2019,42,1197.0,78.9,5.0,11059,0,0,0,1
1752,2016,51,1197.0,81.80,5.0,7758,0,0,0,1
1753,2013,33,2143.0,203,5.0,44115,0,1,0,0
1754,2013,44,998.0,67.1,5.0,4411,0,0,0,1
1755,2012,61,624.0,35,4.0,2099,0,0,0,1
1756,2011,31,1798.0,157.8,5.0,8366,0,0,0,1
1757,2016,40,1197.0,103.5,5.0,11028,0,0,0,1
1758,2014,52,1582.0,126.32,5.0,10618,0,1,0,0
1759,2017,53,1248.0,74,5.0,7986,0,1,0,0
1760,2013,49,814.0,55.2,5.0,2966,0,0,0,1
1761,2014,40,1968.0,174.33,5.0,37269,0,1,0,0
1762,2013,30,2494.0,100,7.0,12641,0,1,0,0
1763,2012,27,2987.0,254.8,5.0,54763,0,1,0,0
1764,2015,57,1120.0,71,5.0,8366,0,1,0,0
1765,2011,27,2354.0,177.6,5.0,8959,0,0,0,1
1766,2016,47,1498.0,103.2,5.0,12093,0,1,0,0
1767,2010,39,1197.0,80,5.0,4183,0,0,0,1
1768,2012,53,1582.0,126.24,5.0,9507,0,1,0,0
1769,2015,47,1399.0,68.05,5.0,7530,0,1,0,0
1770,2019,43,1197.0,81.83,5.0,9538,0,0,0,1
1771,2017,56,1582.0,126.2,5.0,13158,0,1,0,0
1772,2014,44,1197.0,82,5.0,5324,0,0,0,1
1773,2015,33,1968.0,174.3,5.0,53242,0,1,0,0
1774,2015,41,1298.0,85.8,5.0,6769,0,0,0,1
1775,2012,43,1197.0,80,5.0,4031,0,0,0,1
1776,2017,59,1198.0,77,5.0,7149,0,1,0,0
1777,2014,42,1582.0,126.2,5.0,13538,0,1,0,0
1778,2017,40,1956.0,170,5.0,26545,0,1,0,0
1779,2017,57,1248.0,88.5,5.0,14573,0,1,0,0
1780,2012,33,1798.0,138.03,5.0,9461,0,0,0,1
1781,2013,35,2179.0,140,7.0,11865,0,1,0,0
1782,2016,48,1995.0,190,5.0,42213,0,1,0,0
1783,2015,53,1396.0,88.73,5.0,10648,0,1,0,0
1784,2017,27,2987.0,254.79,5.0,98681,0,1,0,0
1785,2013,40,1998.0,163.7,5.0,9887,0,1,0,0
1786,2011,43,1197.0,80,5.0,4107,0,0,0,1
1787,2012,45,1198.0,86.8,5.0,3803,0,0,0,1
1788,2013,45,1461.0,84.8,7.0,5932,0,1,0,0
1789,2015,38,1198.0,73.9,5.0,6008,0,0,0,1
1790,2010,47,1197.0,78.9,5.0,3194,0,0,0,1
1791,2009,42,1991.0,147.9,4.0,5324,0,1,0,0
1792,2007,46,1086.0,68.05,5.0,3042,0,0,0,1
1793,2014,48,1248.0,88.76,7.0,8138,0,1,0,0
1794,2013,60,1498.0,98.6,5.0,5780,0,1,0,0
1795,2016,36,1595.0,122,5.0,26241,0,0,0,1
1796,2018,44,1197.0,81.86,5.0,8412,0,0,0,1
1797,2009,47,1197.0,78.9,5.0,2966,0,0,0,1
1798,2017,66,1248.0,74,5.0,12474,0,1,0,0
1799,1999,30,1343.0,90,5.0,1369,0,0,0,1
1800,2013,30,2494.0,100.6,7.0,9887,0,1,0,0
1801,2014,55,1998.0,112,5.0,29526,0,1,0,0
1802,2016,36,1368.0,112.4,5.0,10009,0,0,0,1
1803,2011,34,1399.0,92.7,5.0,3194,0,0,0,1
1804,2008,46,1086.0,68.05,5.0,3042,0,0,0,1
1805,2015,57,1120.0,71,5.0,5628,0,1,0,0
1806,2014,54,998.0,67.04,5.0,5780,0,0,0,1
1807,2014,47,1197.0,78.9,5.0,4943,0,0,0,1
1808,2015,46,1461.0,83.8,5.0,8412,0,1,0,0
1809,2011,53,1995.0,190,5.0,16581,0,1,0,0
1810,2018,44,1197.0,82,5.0,7758,0,0,0,1
1811,2009,42,995.0,62,5.0,2433,0,0,0,1
1812,2018,40,1497.0,117.3,5.0,17113,0,0,0,1
1813,2013,48,1598.0,103.6,5.0,8975,0,1,0,0
1814,2012,27,2982.0,169,7.0,21905,0,1,0,0
1815,2011,39,1497.0,118,5.0,5476,0,0,0,1
1816,2017,42,1995.0,190,5.0,61609,0,1,0,0
1817,2014,33,1968.0,174.3,5.0,59251,0,1,0,0
1818,2014,54,1248.0,73.94,5.0,5476,0,1,0,0
1819,2016,49,1498.0,103.2,5.0,10831,0,1,0,0
1820,2016,61,1498.0,98.6,5.0,11439,0,1,0,0
1821,2012,35,1968.0,140.8,5.0,15744,0,1,0,0
1822,2014,35,1598.0,103.52,5.0,10648,0,0,0,1
1823,2011,27,2982.0,171,7.0,16505,0,1,0,0
1824,2010,38,1991.0,123.7,5.0,3574,0,1,0,0
1825,2014,35,1196.0,73,7.0,4411,0,0,0,1
1826,2017,48,1373.0,91.1,5.0,11637,0,0,0,1
1827,2016,66,1248.0,88.5,5.0,9735,0,1,0,0
1828,2014,30,2494.0,100.6,7.0,15364,0,1,0,0
1829,2014,44,1197.0,85.8,5.0,6465,0,0,0,1
1830,2019,26,2755.0,171.5,7.0,29891,0,1,0,0
1831,2017,58,1396.0,69,5.0,6693,0,1,0,0
1832,2012,43,1197.0,82.85,5.0,4943,0,0,0,1
1833,2012,41,1399.0,68,5.0,4259,0,1,0,0
1834,2015,42,1248.0,73.74,8.0,6541,0,1,0,0
1835,2006,41,1399.0,68,5.0,2357,0,1,0,0
1836,2007,25,2354.0,152,5.0,7149,0,0,0,1
1837,2017,43,1199.0,88.7,5.0,10755,0,0,0,1
1838,2018,25,2987.0,258,7.0,120176,0,1,0,0
1839,2018,44,1197.0,81.86,5.0,8747,0,0,0,1
1840,2012,43,1197.0,85.80,5.0,4943,0,0,0,1
1841,2017,51,1498.0,108.495,5.0,13523,0,1,0,0
1842,2015,40,1497.0,117.3,5.0,8975,0,0,0,1
1843,2016,43,1199.0,88.7,5.0,7530,0,0,0,1
1844,2014,41,1248.0,75,5.0,5704,0,1,0,0
1845,2017,40,1582.0,126.2,5.0,16687,0,1,0,0
1846,2014,33,2967.0,241.4,5.0,37939,0,1,0,0
1847,2014,49,814.0,55.2,5.0,2996,0,0,0,1
1848,2010,47,1399.0,68,5.0,2129,0,1,0,0
1849,2018,39,1198.0,73.75,5.0,11059,0,0,0,1
1850,2013,50,1461.0,84.8,5.0,6084,0,1,0,0
1851,2015,43,1199.0,88.7,5.0,7225,0,0,0,1
1852,2015,39,1197.0,80,5.0,7758,0,0,0,1
1853,2012,35,2967.0,241.4,5.0,24506,0,1,0,0
1854,2014,26,2696.0,184,7.0,16048,0,1,0,0
1855,2017,30,2755.0,174.5,7.0,45636,0,1,0,0
1856,2002,43,1896.0,66,5.0,2433,0,1,0,0
1857,2012,37,2148.0,170,5.0,28127,0,1,0,0
1858,2018,48,1373.0,91.1,5.0,15151,0,0,0,1
1859,2013,53,1248.0,74,5.0,7225,0,1,0,0
1860,2002,30,2446.0,75,10.0,5552,0,1,0,0
1861,2012,39,2495.0,218,5.0,23578,0,1,0,0
1862,2013,24,2835.0,116.9,6.0,17980,0,1,0,0
1863,2008,31,1794.0,125,5.0,3118,0,0,0,1
1864,2016,62,998.0,58.16,5.0,5020,1,0,0,0
1865,2013,39,796.0,34.2,8.0,3422,0,0,0,1
1866,2014,41,1968.0,174.33,5.0,30606,0,1,0,0
1867,2017,58,1197.0,81.86,5.0,7530,1,0,0,0
1868,2016,64,1498.0,98.6,5.0,11378,0,1,0,0
1869,2004,24,1796.0,157.7,5.0,8366,0,0,0,1
1870,2013,38,1968.0,147.51,5.0,20064,0,1,0,0
1871,2012,44,1197.0,85.8,5.0,5856,0,0,0,1
1872,2016,66,1248.0,73.75,5.0,8747,0,1,0,0
1873,2014,35,2179.0,140,7.0,13690,0,1,0,0
1874,2012,43,1199.0,79.4,5.0,3361,0,0,0,1
1875,2017,54,1498.0,98.96,5.0,12306,0,1,0,0
1876,2017,34,2993.0,258,5.0,73976,0,1,0,0
1877,2015,33,1968.0,174.3,5.0,60042,0,1,0,0
1878,2015,48,1995.0,190,5.0,33831,0,1,0,0
1879,2009,45,1197.0,80,5.0,3955,0,0,0,1
1880,2016,40,1582.0,126.2,5.0,18254,0,1,0,0
1881,2014,40,1968.0,174.33,5.0,27381,0,1,0,0
1882,2007,23,3498.0,364.9,5.0,15196,0,0,0,1
1883,2012,47,1197.0,78.9,5.0,3726,0,0,0,1
1884,2017,54,1498.0,98.96,5.0,13675,0,1,0,0
1885,2011,48,1598.0,103.6,5.0,4791,0,1,0,0
1886,2017,66,1248.0,73.75,5.0,12474,0,1,0,0
1887,2016,36,1997.0,120,7.0,17494,0,1,0,0
1888,2016,53,1396.0,88.73,5.0,11104,0,1,0,0
1889,2008,46,796.0,46.3,5.0,2418,0,0,0,1
1890,2015,47,1197.0,78.9,5.0,4791,0,0,0,1
1891,2015,36,2179.0,120,7.0,12930,0,1,0,0
1892,2010,45,1199.0,75,5.0,4563,0,1,0,0
1893,2012,35,2993.0,258,5.0,31945,0,1,0,0
1894,2016,64,1498.0,98.6,5.0,11789,0,1,0,0
1895,2013,23,2148.0,170,5.0,34988,0,1,0,0
1896,2016,37,2179.0,140,7.0,20916,0,1,0,0
1897,2017,42,1497.0,117.3,5.0,12610,0,0,0,1
1898,2014,53,1248.0,74,5.0,8807,0,1,0,0
1899,2017,34,2143.0,170,5.0,46397,0,1,0,0
1900,2011,39,1497.0,118,5.0,5780,0,0,0,1
1901,2014,35,2956.0,83.8,7.0,6769,0,1,0,0
1902,2012,43,1197.0,82.85,5.0,5020,0,0,0,1
1903,2009,47,1248.0,91.2,5.0,2662,0,1,0,0
1904,2011,30,1799.0,130,5.0,8366,0,0,0,1
1905,2017,46,1582.0,126.2,5.0,20308,0,1,0,0
1906,2017,47,1968.0,143,5.0,34227,0,1,0,0
1907,2013,39,1591.0,121.3,5.0,7986,0,0,0,1
1908,2011,51,1396.0,90,5.0,5704,0,1,0,0
1909,2015,56,1498.0,98.6,7.0,9614,0,1,0,0
1910,2018,52,1582.0,126.32,5.0,11789,0,1,0,0
1911,2006,35,1596.0,101,5.0,2084,0,0,0,1
1912,2010,47,1197.0,78.9,5.0,3194,0,0,0,1
1913,2016,57,1248.0,88.5,5.0,14147,0,1,0,0
1914,2015,30,2494.0,100.6,7.0,18254,0,1,0,0
1915,2017,42,2143.0,136,5.0,35748,0,1,0,0
1916,2006,46,796.0,46.3,5.0,2738,0,0,0,1
1917,2013,34,2143.0,170,5.0,19015,0,1,0,0
1918,2015,53,1248.0,74,5.0,7210,0,1,0,0
1919,2016,44,1197.0,82,5.0,8260,0,0,0,1
1920,2018,29,2982.0,168.5,7.0,48100,0,1,0,0
1921,2011,29,1998.0,132,8.0,9583,0,0,0,1
1922,2017,53,1498.0,98.59,5.0,12854,0,1,0,0
1923,2016,42,1196.0,86.8,5.0,7606,0,0,0,1
1924,2011,27,2982.0,171,7.0,19775,0,1,0,0
1925,2012,44,1197.0,85.8,5.0,7149,0,0,0,1
