,Year,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1278,2008,Diesel,Manual,Second,56,1396.0,88.76,5.0,2890
1279,2011,Diesel,Automatic,First,39,1995.0,218,5.0,25206
1280,2012,Petrol,Manual,First,39,1497.0,118,5.0,8747
1281,2013,Diesel,Automatic,Second,38,1968.0,147.51,5.0,21297
1282,2013,Diesel,Manual,Second,45,1248.0,75,5.0,3803
1283,2002,Petrol,Manual,First,30,1343.0,90,5.0,1825
1284,2013,Diesel,Automatic,First,53,1995.0,190,5.0,21221
1285,2007,Petrol,Manual,First,39,1388.0,68,5.0,2433
1286,2016,Petrol,Automatic,First,51,624.0,37.48,4.0,5476
1287,2018,CNG,Manual,First,35,1196.0,73,5.0,6845
1288,2019,Petrol,Manual,First,49,1197.0,81.80,5.0,9218
1289,2013,Petrol,Manual,Second,41,1298.0,85.8,5.0,8047
1290,2014,Diesel,Manual,First,53,1498.0,89.84,5.0,8747
1291,2014,Petrol,Manual,First,44,1197.0,85.8,5.0,8701
1292,2014,Petrol,Automatic,First,39,1197.0,78.9,5.0,6678
1293,2016,Diesel,Manual,First,35,2179.0,140,7.0,16809
1294,2015,Diesel,Manual,Second,53,1396.0,88.73,5.0,7347
1295,2013,CNG,Manual,First,78,998.0,67.04,5.0,4502
1296,2012,Diesel,Manual,Second,50,1396.0,88.76,5.0,6845
1297,2011,Diesel,Automatic,Second,38,2993.0,258,5.0,29663
1298,2017,Petrol,Automatic,First,33,1598.0,103.52,5.0,13310
1299,2016,Diesel,Automatic,First,34,2967.0,245,7.0,101921
1300,2016,Petrol,Manual,First,40,1497.0,117.3,5.0,12778
1301,2016,Petrol,Manual,First,44,1197.0,82,5.0,7590
1302,2016,Diesel,Manual,First,61,1498.0,98.6,5.0,12443
1303,2012,Petrol,Manual,First,43,1198.0,86.8,5.0,4411
1304,2015,Diesel,Manual,First,66,1248.0,88.5,5.0,10800
1305,2016,Diesel,Manual,First,62,1248.0,74,5.0,10724
1306,2015,Petrol,Automatic,First,26,2354.0,158.8,5.0,26621
1307,2008,Petrol,Automatic,Second,34,1794.0,138.1,5.0,5187
1308,2012,Petrol,Manual,First,39,1497.0,118,5.0,8640
1309,2007,Diesel,Manual,First,28,2179.0,120,9.0,6237
1310,2011,Petrol,Manual,First,31,1798.0,157.8,5.0,6084
1311,2015,Diesel,Automatic,First,44,1995.0,184,5.0,45636
1312,2007,Petrol,Manual,First,35,1586.0,104.68,5.0,2738
1313,2015,Petrol,Manual,First,48,1373.0,91.1,5.0,10542
1314,2012,Diesel,Automatic,First,23,4367.0,308,7.0,106485
1315,2013,Diesel,Manual,First,30,2494.0,100,7.0,12017
1316,2011,Petrol,Manual,First,0,1086.0,62,5.0,4228
1317,2014,Diesel,Automatic,First,30,2199.0,194.3,7.0,21905
1318,2011,Petrol,Automatic,Second,27,1796.0,186,5.0,20536
1319,2014,CNG,Manual,Second,62,998.0,58.16,5.0,4791
1320,2012,Petrol,Manual,First,46,796.0,46.3,5.0,4381
1321,2016,Petrol,Manual,First,58,796.0,47.3,5.0,3270
1322,2013,Petrol,Manual,First,39,1498.0,97.7,5.0,5704
1323,2019,Petrol,Manual,First,58,796.0,47.3,5.0,5476
1324,2018,Petrol,Manual,First,56,998.0,67.1,5.0,5476
1325,2018,Petrol,Automatic,First,44,1197.0,81.86,5.0,11485
1326,2015,Diesel,Manual,First,56,1498.0,98.6,7.0,7149
1327,2010,Diesel,Manual,Second,44,1248.0,90,5.0,2433
1328,2011,Diesel,Manual,First,38,1991.0,123.7,5.0,5080
1329,2016,Petrol,Automatic,First,42,1497.0,117.3,5.0,13843
1330,2019,Petrol,Manual,First,44,1197.0,81.86,5.0,9385
1331,2008,Diesel,Manual,First,51,1582.0,126.2,5.0,3803
1332,2016,Petrol,Manual,First,43,1198.0,75,5.0,4563
1333,2012,Diesel,Manual,First,52,1582.0,126.32,5.0,8747
1334,2017,Petrol,Manual,First,35,1591.0,121.3,5.0,16353
1335,2013,Petrol,Manual,Second,48,998.0,67.04,5.0,4335
1336,2008,Petrol,Automatic,First,23,2354.0,180,5.0,9887
1337,2016,Petrol,Automatic,First,39,1497.0,118,5.0,14375
1338,2016,Diesel,Manual,First,64,1248.0,74,5.0,10268
1339,2017,Diesel,Manual,First,61,1498.0,98.6,5.0,11789
1340,2014,Diesel,Manual,First,53,1396.0,88.76,5.0,6693
1341,2015,Diesel,Automatic,First,30,2987.0,265,5.0,63891
1342,2014,Diesel,Manual,First,44,1461.0,108.5,5.0,8625
1343,2016,Diesel,Automatic,First,46,1461.0,108.45,5.0,17494
1344,2009,Petrol,Manual,First,44,998.0,67.1,5.0,2570
1345,2009,Diesel,Manual,Second,40,1493.0,110,5.0,2738
1346,2016,Petrol,Manual,First,43,1197.0,85.80,5.0,4867
1347,2019,Diesel,Automatic,First,52,1995.0,187.74,5.0,69763
1348,2016,Petrol,Manual,First,38,1198.0,74,5.0,7758
1349,2010,Petrol,Manual,Second,36,1196.0,70,5.0,3650
1350,2013,Diesel,Automatic,First,44,1995.0,184,5.0,33466
1351,2012,Diesel,Manual,First,52,1582.0,126.32,5.0,6510
1352,2015,Diesel,Manual,First,48,1461.0,83.8,5.0,8625
1353,2018,Petrol,Automatic,First,44,1197.0,81.86,5.0,9431
1354,2013,Diesel,Automatic,Second,40,1995.0,184,5.0,22042
1355,2010,Diesel,Manual,First,49,1248.0,73.9,5.0,4563
1356,2010,Petrol,Manual,Second,46,1086.0,68.05,5.0,3422
1357,2016,Diesel,Automatic,First,37,2993.0,258,7.0,66599
1358,2019,Petrol,Manual,First,39,1497.0,116.3,5.0,17417
1359,2014,Diesel,Automatic,First,26,2696.0,184,7.0,15972
1360,2015,Diesel,Manual,First,53,1498.0,89.84,5.0,11378
1361,2010,Petrol,Manual,First,46,796.0,46.3,5.0,4715
1362,2011,Petrol,Manual,First,38,1198.0,74,5.0,3879
1363,2013,Diesel,Manual,First,51,1199.0,73.9,5.0,5324
1364,2012,Diesel,Manual,First,51,1199.0,73.9,5.0,3939
1365,2013,Diesel,Manual,First,48,1248.0,88.8,7.0,8290
1366,2017,Diesel,Manual,First,53,1498.0,98.59,5.0,9127
1367,2016,Diesel,Automatic,First,26,2755.0,171.5,7.0,23563
1368,2010,Petrol,Automatic,Second,25,2497.0,150,5.0,19015
1369,2017,Diesel,Manual,First,55,1248.0,74,5.0,7225
1370,2017,Petrol,Manual,First,44,999.0,123.24,5.0,11941
1371,2013,Diesel,Manual,First,39,1493.0,110,5.0,9127
1372,2016,Petrol,Manual,First,41,1193.0,88.7,5.0,6084
1373,2011,Diesel,Automatic,First,33,2967.0,241.4,5.0,43735
1374,2012,Diesel,Manual,First,52,1248.0,74,5.0,3803
1375,2015,Diesel,Manual,First,62,1248.0,74,5.0,8366
1376,2010,Petrol,Manual,First,37,1368.0,90,5.0,2418
1377,2017,Petrol,Manual,First,43,1197.0,81.83,5.0,9461
1378,2016,Petrol,Manual,First,49,814.0,55.2,5.0,4183
1379,2017,Diesel,Automatic,First,42,2143.0,136,5.0,38030
1380,2014,Petrol,Manual,First,54,998.0,67.04,5.0,4259
1381,2014,Petrol,Manual,Second,41,1199.0,76.8,5.0,3726
1382,2016,Petrol,Automatic,First,44,1199.0,88.7,5.0,9659
1383,2009,Diesel,Automatic,Third,37,1995.0,181,5.0,12169
1384,2014,Diesel,Manual,First,44,1461.0,108.45,5.0,12550
1385,2017,Petrol,Automatic,First,40,1499.0,110.4,5.0,9051
1386,2018,Diesel,Manual,First,32,2393.0,147.8,7.0,30302
1387,2016,Diesel,Manual,First,59,936.0,56.3,5.0,4791
1388,2014,Petrol,Automatic,First,40,1798.0,189,4.0,8747
1389,2018,Diesel,Automatic,First,25,3198.0,197.2,7.0,49348
1390,2016,Diesel,Automatic,Second,52,1582.0,126.32,5.0,12184
1391,2017,Petrol,Manual,First,42,1196.0,86.8,5.0,9857
1392,2007,Petrol,Manual,First,37,796.0,37,4.0,1140
1393,2014,Diesel,Manual,First,61,1498.0,98.6,5.0,7606
1394,2012,Diesel,Manual,First,37,2179.0,140,7.0,11789
1395,2010,Diesel,Manual,First,47,1399.0,68,5.0,3955
1396,2018,Petrol,Manual,First,39,1497.0,121.36,5.0,13995
1397,2015,Petrol,Manual,First,43,1197.0,81.83,5.0,7682
1398,2012,Diesel,Manual,First,30,2494.0,100,7.0,14603
1399,2013,Diesel,Manual,First,48,1461.0,83.8,5.0,8366
1400,2013,Diesel,Manual,First,30,2494.0,100.6,8.0,14223
1401,2009,Petrol,Manual,First,39,1497.0,118,5.0,3955
1402,2016,Petrol,Manual,First,56,998.0,67.1,5.0,5324
1403,2016,Petrol,Manual,First,45,1198.0,67.04,5.0,6480
1404,2016,Petrol,Automatic,Second,54,998.0,67.04,5.0,6465
1405,2010,Petrol,Manual,Second,27,1796.0,178,5.0,17874
1406,2013,Diesel,Manual,First,55,1498.0,88.7,5.0,5324
1407,2015,Petrol,Manual,First,40,1591.0,121.3,5.0,11409
1408,2009,Petrol,Automatic,Third,35,1396.0,100,5.0,4943
1409,2012,Petrol,Manual,First,41,1298.0,85.8,5.0,7453
1410,2014,Diesel,Automatic,First,34,2143.0,170,5.0,41072
1411,2017,Petrol,Manual,First,43,1197.0,81.86,5.0,13554
1412,2014,Petrol,Automatic,First,40,1591.0,121.4,5.0,10176
1413,2014,Diesel,Manual,First,40,1998.0,163.7,5.0,9157
1414,2010,Petrol,Manual,First,33,1798.0,138.03,5.0,6845
1415,2011,Petrol,Manual,First,44,998.0,66.1,5.0,3042
1416,2012,Diesel,Manual,First,54,1461.0,63.1,5.0,3650
1417,2013,Petrol,Manual,First,59,624.0,37.48,4.0,1825
1418,2014,Diesel,Manual,First,55,1248.0,74,5.0,4411
1419,2016,Diesel,Automatic,First,40,1968.0,184,5.0,41072
1420,2016,Diesel,Manual,First,60,1498.0,98.6,5.0,11409
1421,2004,Petrol,Manual,First,34,1599.0,104,5.0,2281
1422,2016,Diesel,Automatic,First,33,1968.0,174.3,5.0,60088
1423,2012,Diesel,Manual,First,54,1248.0,73.94,5.0,5156
1424,2018,Diesel,Manual,First,36,2179.0,120,7.0,18863
1425,2014,Diesel,Manual,First,66,1248.0,88.5,5.0,10420
1426,2011,Diesel,Manual,Second,50,1364.0,138,5.0,8747
1427,2015,Diesel,Manual,Second,58,1396.0,69,5.0,3042
1428,2006,Petrol,Manual,First,37,796.0,37,4.0,1369
1429,2015,Petrol,Manual,First,38,1198.0,74,5.0,5780
1430,2017,Petrol,Automatic,First,34,1999.0,149.92,5.0,24871
1431,2012,Diesel,Automatic,First,27,2982.0,169,7.0,25100
1432,2019,Petrol,Manual,First,50,1197.0,83.1,5.0,13234
1433,2016,Petrol,Manual,First,50,1197.0,83.1,5.0,9279
1434,2013,Diesel,Automatic,First,55,1998.0,112,5.0,33375
1435,2009,Diesel,Automatic,Second,30,2987.0,210,5.0,33466
1436,2015,Petrol,Manual,First,49,998.0,67.1,5.0,4031
1437,2017,Petrol,Manual,First,47,1197.0,81.80,5.0,8016
1438,2014,Diesel,Manual,First,51,1248.0,74,5.0,3772
1439,2011,Diesel,Manual,First,30,2494.0,102,8.0,9127
1440,2009,Diesel,Manual,First,27,2982.0,171,7.0,13538
1441,2012,Diesel,Automatic,Second,44,1995.0,184,5.0,27381
1442,2016,Petrol,Manual,First,39,1395.0,138.02,5.0,17707
1443,2019,Diesel,Manual,First,27,2982.0,171,7.0,13675
1444,2009,Diesel,Automatic,First,36,1896.0,105,5.0,7986
1445,2011,Diesel,Manual,First,54,1396.0,90,5.0,4487
1446,2013,Diesel,Manual,Second,49,1248.0,88.76,5.0,4031
1447,2013,Petrol,Manual,First,35,1598.0,103.6,5.0,6084
1448,2016,Diesel,Automatic,First,41,1582.0,126.2,5.0,19015
1449,2014,Petrol,Manual,First,49,1197.0,85.80,5.0,4943
1450,2008,Petrol,Manual,First,30,1997.0,141.1,5.0,6084
1451,2012,Diesel,Manual,Second,35,2179.0,140,7.0,9507
1452,2016,Diesel,Manual,First,50,1498.0,108.62,5.0,8823
1453,2015,Petrol,Manual,First,41,1193.0,88.7,5.0,7606
1454,2016,Diesel,Automatic,First,30,2993.0,270.88,5.0,89341
1455,2018,Petrol,Automatic,First,33,1798.0,138.03,5.0,26606
1456,2011,Petrol,Manual,Second,44,998.0,66.1,5.0,2966
1457,2007,Petrol,Automatic,First,26,2354.0,142,5.0,4563
1458,2014,Petrol,Manual,First,39,1197.0,80,5.0,8366
1459,2013,Diesel,Automatic,First,29,2982.0,168.5,7.0,25100
1460,2011,Petrol,Automatic,Second,27,1796.0,186,5.0,22057
1461,2016,Diesel,Manual,First,64,1248.0,74,5.0,11850
1462,2017,Diesel,Manual,First,48,1248.0,88.76,7.0,12580
1463,2019,Diesel,Automatic,First,29,2993.0,255,5.0,147664
1464,2012,Petrol,Manual,First,30,1598.0,102.5,5.0,3270
1465,2008,Petrol,Automatic,Second,30,1799.0,130,5.0,4563
1466,2014,Diesel,Automatic,First,37,1995.0,184,5.0,43795
1467,2011,Diesel,Automatic,First,47,1968.0,138.1,5.0,8290
1468,2013,Diesel,Manual,First,55,1248.0,74,5.0,6008
1469,2013,Diesel,Automatic,First,54,1984.0,150,5.0,24339
1470,2013,Petrol,Manual,First,41,1298.0,85.8,5.0,6465
1471,2014,Diesel,Automatic,First,29,2179.0,187.7,5.0,52482
1472,2008,Petrol,Automatic,Third,27,2354.0,177.6,5.0,3955
1473,2017,Diesel,Manual,First,30,2494.0,100.6,8.0,20506
1474,2018,Diesel,Manual,First,29,2982.0,168.5,7.0,48831
1475,2018,Petrol,Manual,First,43,1199.0,88.7,5.0,9385
1476,2015,Petrol,Manual,First,39,1497.0,118,5.0,8366
1477,2017,Diesel,Automatic,First,66,1248.0,73.75,5.0,13919
1478,2014,Diesel,Manual,First,50,1461.0,84.8,5.0,6845
1479,2014,Diesel,Manual,First,30,2494.0,100.6,8.0,15972
1480,2016,Petrol,Manual,First,45,1198.0,86.8,5.0,8168
1481,2012,Petrol,Manual,First,35,1598.0,103.6,5.0,8290
1482,2016,Diesel,Manual,First,37,2179.0,140,7.0,14071
1483,2016,Diesel,Manual,First,54,1498.0,98.96,5.0,11713
1484,2012,Diesel,Manual,First,41,1968.0,108.49,5.0,12154
1485,2012,Petrol,Manual,First,47,1197.0,78.9,5.0,4563
1486,2005,Diesel,Manual,First,30,2494.0,102,8.0,6084
1487,2018,Diesel,Manual,First,48,1248.0,88.7,5.0,10176
1488,2014,Diesel,Manual,First,53,1248.0,74,5.0,6465
1489,2017,Diesel,Automatic,First,51,1498.0,108.4,5.0,15972
1490,2019,Diesel,Manual,First,32,2393.0,147.8,8.0,34303
1491,2014,Petrol,Manual,Second,40,1591.0,121.3,5.0,7910
1492,2019,Petrol,Manual,First,40,1497.0,117.3,5.0,18056
1493,2014,Diesel,Manual,First,61,1498.0,98.6,5.0,10633
1494,2011,Diesel,Manual,First,48,1598.0,103.6,5.0,7606
1495,2014,Diesel,Automatic,First,28,2967.0,236,5.0,66933
1496,2015,Petrol,Manual,First,53,796.0,47.3,5.0,4244
1497,2012,Diesel,Manual,Second,49,1248.0,88.8,5.0,4411
1498,2016,Petrol,Manual,First,35,1591.0,121.3,5.0,14984
1499,2014,Diesel,Automatic,First,28,2987.0,224,7.0,74539
1500,2016,Diesel,Manual,First,38,2498.0,105,6.0,14071
1501,2011,Diesel,Manual,Second,52,1582.0,126.3,5.0,5704
1502,2017,Diesel,Manual,First,61,1498.0,99,5.0,11089
1503,2016,Diesel,Automatic,First,48,1496.0,113.98,4.0,35748
1504,2013,Petrol,Manual,First,32,796.0,35,5.0,3955
1505,2015,Diesel,Manual,Second,49,1461.0,65,5.0,4715
1506,2016,Diesel,Automatic,First,33,2143.0,203,5.0,45606
1507,2016,Diesel,Manual,First,44,1461.0,108.45,5.0,10237
1508,2016,Diesel,Manual,First,55,1248.0,74,5.0,5324
1509,2011,Petrol,Manual,First,38,1198.0,73.9,5.0,3574
1510,2017,Diesel,Manual,First,37,2179.0,140,7.0,24537
1511,2014,Petrol,Manual,First,38,1198.0,74,5.0,8975
1512,2012,Petrol,Manual,First,49,1197.0,85.80,5.0,5932
1513,2012,Diesel,Manual,First,30,2494.0,102,7.0,10572
1514,2015,Diesel,Manual,First,61,1498.0,98.6,5.0,10648
1515,2017,Petrol,Manual,First,39,1198.0,73.75,5.0,10998
1516,2012,Diesel,Manual,First,50,1248.0,88.8,5.0,5795
1517,2012,Petrol,Manual,Third,43,1197.0,85.8,5.0,6845
1518,2017,Diesel,Manual,First,46,1582.0,126.2,5.0,19167
1519,2015,Diesel,Automatic,First,28,2967.0,241.4,7.0,73018
1520,2010,Petrol,Manual,First,46,796.0,46.3,5.0,4502
1521,2014,Diesel,Manual,First,60,1498.0,98.6,5.0,4943
1522,2011,Diesel,Automatic,Second,43,1968.0,167.7,5.0,12930
1523,2013,Diesel,Automatic,First,45,1582.0,126.24,5.0,13310
1524,2011,Petrol,Manual,First,44,998.0,67.1,5.0,4685
1525,2017,Diesel,Automatic,First,30,1999.0,148.31,7.0,63130
1526,2016,Petrol,Manual,First,41,1497.0,117.3,5.0,10648
1527,2011,Petrol,Automatic,Second,34,1991.0,181.03,5.0,17494
1528,2011,Petrol,Manual,First,48,998.0,67.04,5.0,3955
1529,2014,Diesel,Manual,First,52,1582.0,126.3,5.0,6541
1530,2017,CNG,Manual,First,41,1373.0,80.46,7.0,12702
1531,2017,Diesel,Automatic,First,40,1968.0,141,5.0,37878
1532,2011,Diesel,Automatic,First,35,1995.0,177,5.0,20916
1533,2014,Diesel,Manual,First,56,1186.0,73.97,5.0,5856
1534,2014,Diesel,Automatic,First,30,2143.0,201.1,5.0,35368
1535,2015,Petrol,Manual,First,44,1197.0,82,5.0,8747
1536,2008,Petrol,Manual,Second,47,1197.0,78.9,5.0,2510
1537,2012,Diesel,Manual,First,45,1968.0,138.1,5.0,9887
1538,2011,Diesel,Manual,First,41,1968.0,138.08,5.0,11409
1539,2019,Diesel,Automatic,First,34,2967.0,245,7.0,110957
1540,2010,Diesel,Manual,Second,27,2982.0,171,7.0,16733
1541,2013,Petrol,Manual,First,44,1061.0,67,5.0,4594
1542,2013,Petrol,Manual,First,49,814.0,55.2,5.0,5050
1543,2013,Petrol,Manual,First,45,1198.0,86.8,5.0,4928
1544,2015,Petrol,Manual,First,53,796.0,47.3,5.0,3574
1545,2013,Diesel,Manual,First,37,2523.0,62.1,7.0,8366
1546,2015,Petrol,Manual,First,41,1497.0,117.3,5.0,10268
1547,2015,Petrol,Manual,First,35,1598.0,103.52,5.0,9355
1548,2016,Petrol,Manual,First,51,1197.0,81.80,5.0,8290
1549,2013,Petrol,Manual,Second,49,814.0,55.2,5.0,3498
1550,2015,Petrol,Manual,First,49,1197.0,83.14,5.0,9446
1551,2014,Petrol,Automatic,First,45,1198.0,76,5.0,7925
1552,2008,Petrol,Automatic,First,19,4134.0,250,7.0,18239
1553,2010,Diesel,Manual,First,41,1248.0,75,5.0,4715
1554,2017,Diesel,Manual,First,31,2179.0,138.03,5.0,11409
1555,2016,Diesel,Manual,First,47,1498.0,88.8,5.0,6084
1556,2016,Petrol,Manual,First,41,1497.0,117.3,5.0,11759
1557,2015,Petrol,Manual,First,40,1497.0,117.3,5.0,11865
1558,2011,Petrol,Manual,First,37,796.0,37,4.0,1977
1559,2014,Diesel,Manual,First,47,1498.0,88.8,5.0,6723
1560,2009,Diesel,Automatic,First,29,1991.0,147.9,7.0,6084
1561,2016,Diesel,Manual,First,37,2179.0,140,7.0,19775
1562,2015,Diesel,Manual,First,60,1498.0,98.6,5.0,8184
1563,2011,Petrol,Manual,Second,39,1197.0,80,5.0,4943
1564,2016,Petrol,Automatic,First,48,998.0,67,5.0,5887
1565,2014,Diesel,Automatic,Second,39,1968.0,138.03,5.0,12550
1566,2018,Petrol,Manual,First,48,1373.0,91.1,5.0,14116
1567,2012,Diesel,Automatic,First,27,2179.0,120,7.0,9507
1568,2008,Petrol,Manual,Second,35,1150.0,74.9,5.0,1749
1569,2016,Petrol,Manual,First,48,1373.0,91.2,5.0,11865
1570,2012,Diesel,Manual,First,54,1396.0,90,5.0,6845
1571,2018,Petrol,Manual,First,43,1199.0,88.7,5.0,11500
1572,2017,Diesel,Manual,First,37,2179.0,140,7.0,24461
1573,2012,Petrol,Manual,First,39,1197.0,80,5.0,6845
1574,2012,Diesel,Manual,First,52,1582.0,126.32,5.0,7606
1575,2011,Petrol,Manual,First,46,1086.0,68.05,5.0,3346
1576,2014,Petrol,Automatic,First,54,998.0,67.04,5.0,6084
1577,2012,Diesel,Manual,First,49,1199.0,73.9,5.0,3818
1578,2015,Diesel,Manual,First,59,1248.0,74,5.0,7225
1579,2008,Petrol,Manual,Second,37,1086.0,66.7,5.0,3042
1580,2010,Petrol,Manual,Second,47,1197.0,78.9,5.0,3194
1581,2013,Petrol,Automatic,First,38,1499.0,110,5.0,9507
1582,2011,Diesel,Automatic,Second,27,2987.0,210,5.0,16124
1583,2017,Diesel,Manual,First,59,1248.0,74,5.0,9127
1584,2004,Petrol,Manual,Second,37,796.0,37,4.0,684
1585,2010,Petrol,Manual,Third,37,1298.0,88.2,5.0,3803
1586,2018,Petrol,Manual,First,35,1591.0,121.3,5.0,19395
1587,2017,Diesel,Automatic,First,40,1995.0,190,5.0,46077
1588,2006,Petrol,Manual,First,32,1299.0,70,5.0,2433
1589,2017,Diesel,Manual,First,53,1498.0,89.84,5.0,11469
1590,2015,Petrol,Manual,First,48,1373.0,91.1,5.0,10405
1591,2012,Diesel,Automatic,First,43,1968.0,167.7,5.0,9127
1592,2017,Diesel,Manual,First,64,1498.0,98.6,5.0,12169
1593,2016,Diesel,Automatic,First,40,1968.0,174.33,5.0,37634
1594,2017,Diesel,Manual,First,56,1120.0,70,5.0,8366
1595,2013,Diesel,Automatic,First,28,2987.0,224,7.0,54763
1596,2013,Diesel,Manual,First,30,2494.0,100.6,7.0,17935
1597,2011,Petrol,Manual,Second,39,1498.0,97.7,5.0,4563
1598,2011,Diesel,Automatic,Second,47,1968.0,138.1,5.0,10268
1599,2006,Petrol,Manual,First,34,1399.0,92.7,5.0,2129
1600,2014,Diesel,Manual,First,56,1498.0,98.6,7.0,8747
1601,2010,Diesel,Manual,First,49,1248.0,73.9,5.0,5172
1602,2011,Petrol,Manual,Second,38,1198.0,73.9,5.0,7438
1603,2013,Petrol,Manual,First,31,1598.0,102.5,5.0,7530
1604,2013,Petrol,Automatic,Second,39,998.0,66.1,5.0,5309
1605,2014,Petrol,Manual,First,39,1497.0,118,5.0,9659
1606,2017,Petrol,Automatic,First,44,1197.0,82,5.0,10770
1607,2017,Diesel,Automatic,First,31,1999.0,177,5.0,57806
1608,2012,Diesel,Manual,First,28,2179.0,120,8.0,9507
1609,2011,Petrol,Automatic,First,27,1796.0,186,5.0,15440
1610,2014,Petrol,Automatic,First,32,1798.0,157.75,5.0,16353
1611,2012,Diesel,Automatic,First,42,1991.0,147.9,4.0,7073
1612,2010,Diesel,Manual,First,28,2179.0,120,8.0,7225
1613,2015,Petrol,Manual,First,40,1591.0,121.3,5.0,11835
1614,2016,Diesel,Manual,First,54,1396.0,90,5.0,10268
1615,2008,Petrol,Automatic,First,38,1497.0,78,5.0,4548
1616,2013,Petrol,Manual,First,47,1197.0,78.9,5.0,3574
1617,2013,Diesel,Manual,First,60,1498.0,98.6,5.0,5552
1618,2012,Petrol,Manual,Second,52,998.0,67.04,5.0,4168
1619,2013,Petrol,Manual,First,45,1198.0,86.8,5.0,5324
1620,2014,Petrol,Manual,First,39,1197.0,80,5.0,7241
1621,2016,Petrol,Manual,First,35,1598.0,103.2,5.0,9431
1622,2008,Diesel,Manual,Second,43,1896.0,66,5.0,3574
1623,2014,Diesel,Automatic,First,30,2143.0,204,5.0,37269
1624,2013,Petrol,Manual,First,31,1598.0,102.57,5.0,9127
1625,2017,Petrol,Manual,First,49,814.0,55.2,5.0,5552
1626,2016,Petrol,Manual,Second,43,1197.0,85.8,5.0,9522
1627,2015,Diesel,Automatic,First,31,2967.0,241.4,5.0,50124
1628,2018,Petrol,Manual,First,43,1197.0,81.83,5.0,11865
1629,2014,Petrol,Manual,First,45,1198.0,86.8,5.0,6465
1630,2014,Petrol,Manual,First,41,1298.0,85.8,5.0,7393
1631,2017,Petrol,Manual,First,44,1197.0,81.86,5.0,7453
1632,2014,Diesel,Manual,First,27,2498.0,112,8.0,10739
1633,2015,Petrol,Automatic,First,40,1798.0,189,4.0,6845
1634,2011,Petrol,Manual,First,56,998.0,67.1,5.0,4898
1635,2014,Diesel,Manual,First,51,1199.0,73.9,5.0,4943
1636,2016,Petrol,Manual,First,44,1197.0,82,5.0,6891
1637,2017,Diesel,Automatic,First,34,2143.0,170,5.0,52908
1638,2014,Petrol,Automatic,First,37,1591.0,121.3,5.0,9887
1639,2010,Petrol,Manual,First,36,1172.0,67,5.0,3422
1640,2011,Diesel,Manual,Second,30,2494.0,100,8.0,12169
1641,2017,Diesel,Automatic,First,43,1493.0,100,7.0,12732
1642,2015,Diesel,Manual,First,47,1498.0,88.8,5.0,8199
1643,2018,Diesel,Automatic,First,52,1995.0,190,5.0,56741
1644,2018,Diesel,Automatic,First,27,2987.0,254.79,5.0,107702
1645,2012,Diesel,Automatic,First,27,2987.0,254.8,5.0,33847
1646,2018,Petrol,Manual,First,44,1197.0,81.86,5.0,9172
1647,2011,Petrol,Automatic,First,32,1798.0,157.75,5.0,7453
1648,2013,Petrol,Automatic,First,39,1197.0,78.9,5.0,6024
1649,2011,Diesel,Manual,First,54,1396.0,90,5.0,6997
1650,2011,Diesel,Manual,Second,28,2179.0,120,8.0,8366
1651,2013,Petrol,Manual,First,45,1198.0,86.8,5.0,4943
1652,2017,Petrol,Manual,First,43,1197.0,81.83,5.0,9507
1653,2007,Diesel,Manual,Fourth & Above,25,2499.0,143,7.0,4563
1654,2011,Diesel,Manual,First,39,1493.0,110,5.0,6465
1655,2011,Diesel,Manual,First,27,2982.0,171,7.0,18634
1656,2011,Diesel,Automatic,Second,40,1995.0,184,5.0,16657
1657,2013,Diesel,Automatic,First,29,2982.0,168.5,7.0,25100
1658,2018,Petrol,Automatic,First,44,1199.0,88.76,5.0,11865
1659,2013,Petrol,Manual,First,46,1086.0,68.05,5.0,5628
1660,2012,Petrol,Manual,First,39,1197.0,80,5.0,6084
1661,2015,Diesel,Automatic,First,46,1995.0,187.74,5.0,40692
1662,2016,Diesel,Automatic,First,35,1968.0,181,5.0,42639
1663,2017,Petrol,Manual,First,47,1197.0,81.80,5.0,8275
1664,2017,Petrol,Automatic,First,50,1197.0,83.1,5.0,9431
1665,2005,Petrol,Manual,First,31,1495.0,94,5.0,1369
1666,2016,Petrol,Manual,First,43,1197.0,85.80,5.0,6008
1667,2011,Petrol,Manual,Second,61,624.0,35,4.0,669
1668,2012,Diesel,Manual,First,47,1399.0,68,5.0,4183
1669,2011,Diesel,Automatic,First,43,1968.0,167.7,5.0,11409
1670,2010,Diesel,Manual,Second,44,1248.0,93,5.0,3803
1671,2015,Diesel,Manual,First,35,2489.0,93.7,7.0,7606
1672,2013,Petrol,Manual,First,44,998.0,67.1,5.0,5476
1673,2012,Petrol,Manual,First,41,1496.0,88.7,5.0,6069
1674,2015,Petrol,Manual,First,44,1197.0,82,5.0,8579
1675,2014,Diesel,Manual,First,30,2494.0,100,8.0,18254
1676,2008,Diesel,Manual,First,39,1405.0,62,5.0,1064
1677,2015,Diesel,Automatic,First,44,1995.0,184,5.0,28903
1678,2017,Diesel,Automatic,First,25,3198.0,197,7.0,46366
1679,2017,Petrol,Manual,First,50,1462.0,103.25,5.0,12474
1680,2015,Diesel,Manual,First,60,1498.0,99,5.0,11485
